programme,level,age,handedness,mother,father,height,gender,distance,study,vision,cell,d2,d4
kin,2,19,R,R,L,68,2,94,3,N,90,6.9,7.1
ls,2,19,R,R,R,74,2,30,3,N,20,,
other,2,19,R,R,R,70,2,,2,Y,3,6.9,7.2
ls,2,19,R,R,L,71,2,95,4,N,120,7.6,7.6
kin,2,19,R,R,L,72,2,97.5,4.5,N,180,7.5,7
bioch,2,19,R,R,R,63,1,15.2,6,Y,1,6.8,6.7
bio,2,19,R,R,L,72,2,,,N,,7.5,8
kin,2,19,R,R,R,64,1,14,3,Y,200,,
ls,2,19,R,R,,62,,1.3,3,Y,420,6.6,6.7
ls,2,19,R,R,R,62,1,81.4,2.1,Y,240,6.9,6.5
bio,2,19,R,R,R,67,1,1.1,5,Y,120,7.7,7.8
ls,2,21,R,R,R,64,1,10,3,Y,180,6.5,7
other,2,19,R,R,R,66,1,2,2,Y,3,7.4,8
bioch,2,19,R,R,R,72,2,1,5.5,Y,240,7.6,8
env,2,20,R,R,R,63,1,1.3,2,Y,300,6.6,6.6
ls,2,19,R,R,R,65,1,50,6,Y,180,7.2,7.4
env,2,20,R,R,R,72,2,8.2,2.5,N,100,8,8.5
ls,2,19,R,R,R,68,1,69.1,,,,7,7.3
env,2,19,R,R,R,70,2,17,2,Y,240,8,7
ls,2,19,R,R,L,64,1,77.1,2,Y,150,7.3,6.9
ls,2,19,R,R,L,64,1,77.1,2,Y,150,7.3,6.9
bioch,2,19,R,R,R,,2,20,3,Y,90,,
bioch,2,19,R,R,R,61,1,26,4.5,N,120,6.6,6.8
ls,2,20,R,R,R,62,1,0.5,1.5,Y,240,5.8,6.1
env,2,19,R,R,R,62,1,0.5,1,N,180,6.8,6.8
ls,2,19,R,R,R,65,1,53,4,Y,120,7.7,7.5
bioch,2,19,R,R,R,67,1,,3,Y,300,,
ls,2,20,R,R,,62,1,,1,N,60,6.5,7
bio,2,19,R,R,R,,1,2.2,6.5,Y,240,,
ls,2,19,L,,,66,2,65,4.5,Y,187,7,7.2
ls,2,19,R,R,R,77,2,77.2,4.5,Y,361,8.3,8.4
ls,2,20,R,R,R,68,1,35,6,N,190,7,6
ls,2,20,R,R,R,64,1,1.1,5,Y,180,7.4,7.1
ls,2,19,R,R,R,64,1,1.2,6,Y,180,6.8,7
kin,2,19,R,R,R,68,2,1,2,N,300,7.9,7.6
ls,2,19,R,R,R,64,1,,5,Y,360,,
ls,2,19,R,R,R,,1,46.6,3,Y,240,7.1,6.2
bio,2,19,R,R,R,68,1,54,6,Y,120,7.9,7.5
bio,2,19,R,R,R,63,1,1.5,2.5,N,120,7,7.1
ls,2,19,R,R,R,65,1,,,Y,420,,
kin,2,19,R,R,R,63,1,1.6,5,N,300,7.5,7.4
kin,2,19,R,R,R,67,1,1.5,2,N,180,7.5,7
ls,2,,R,R,R,,1,,,Y,,,
ls,2,19,R,R,R,63,1,4.7,3,N,308,7.6,7.5
bioch,2,20,R,R,R,67,1,98.8,5,Y,180,5.5,6.5
bio,2,19,R,R,R,73,2,34,4,Y,180,7.3,7.1
bioch,2,19,R,R,R,69,2,,4,Y,3,7.6,8.1
ls,2,19,R,R,R,65,1,99.9,,Y,360,6.8,7.2
ls,2,20,R,R,R,61,1,10,3,Y,150,6,6.3
ls,2,19,R,R,R,74,2,43.8,,Y,300,8.4,8
ls,2,19,R,R,R,62,1,0.3,6,N,150,7,7.2
kin,2,19,R,R,R,,1,4.3,5,N,,8.1,8.4
ls,2,19,L,R,R,,2,,,N,,,
bio,2,,R,R,R,,1,,,Y,,,
kin,2,19,R,R,R,74,1,1,2,Y,120,7.5,8
kin,2,19,R,R,L,69,2,1,3,N,210,7.2,7
ls,2,19,R,R,R,69,1,28,5,Y,140,7.9,7.5
ls,2,19,R,R,L,64,1,3.2,4,N,180,7,6.8
ls,2,19,R,L,R,69,2,50.2,5,N,500,,
ls,2,19,R,R,R,65,1,60,7,N,180,7.1,6.7
ls,2,19,R,R,L,63,1,1.5,,Y,120,5.8,5.9
kin,2,19,R,L,R,,1,,,N,,,
ls,2,19,R,R,R,65,1,7.1,3,Y,600,7.5,7
other,2,20,R,R,R,64,1,60,5,Y,240,6.5,7.1
ls,2,19,R,R,R,65,1,0.9,4,Y,152,6.8,6.5
bio,2,19,L,R,R,66,1,49,6.5,N,180,7,7.1
ls,2,19,R,R,R,64,1,1,4,N,120,7.5,7.2
ls,2,20,R,R,R,67,1,1.7,5,Y,120,6.7,6.6
ls,2,19,R,R,R,71,2,11.2,3,Y,240,8,7.8
kin,2,19,R,R,R,66,2,12,5,Y,180,6.8,7.1
ls,2,19,R,R,R,65,1,12,2.5,Y,300,6.2,6.6
ls,2,20,R,R,R,66,1,15,6,Y,120,5.2,5.3
kin,2,19,L,R,R,69,2,10,2.5,N,90,8.2,8.4
kin,2,19,R,R,L,65,1,1.1,3,N,180,6.7,7.4
ls,2,20,R,R,R,67,1,35,7,N,120,7,7.3
ls,2,20,R,R,R,67,2,0.9,,N,228,8,8
ls,2,20,R,R,R,64,1,0.4,4,Y,180,6.6,7
ls,2,19,R,R,R,64,1,97.6,4,Y,3,7.4,7.2
env,2,20,R,R,R,64,1,5,4,Y,600,7.2,7.8
